epoch,lr,train_loss,train_mae,train_rmse,train_corr,val_loss,val_mae,val_rmse,val_corr
1,0.0005,838.6244517578125,20.676149368286133,28.959007263183594,0.2624121881973569,284.4967129882813,12.87773323059082,16.867029190063477,0.676986471091611
2,0.0005,278.43723674804687,12.782174110412598,16.686450958251953,0.6818637747875922,261.29659765625,12.47646427154541,16.1646728515625,0.7076101050779959
3,0.0005,264.37485254882813,12.44937515258789,16.25959587097168,0.7013838928596762,260.27594206542966,12.287755966186523,16.133068084716797,0.7152505526667998
4,0.0005,254.00082142578125,12.17918586730957,15.93741226196289,0.7154693809007754,247.653319921875,12.003114700317383,15.737010955810547,0.7287773957133288
5,0.0005,246.95701949707032,12.00798225402832,15.714864730834961,0.7248556480913764,236.2954427246094,11.774447441101074,15.371901512145996,0.7415177662596716
6,0.0005,241.6532024560547,11.86290168762207,15.545186996459961,0.7318594588279758,235.378845703125,11.914163589477539,15.342059135437012,0.7476401827165607
7,0.0005,238.4539069921875,11.772421836853027,15.441954612731934,0.7360416381866292,227.34695627441405,11.5170316696167,15.078027725219727,0.7519445233943141
8,0.0005,233.65180057617187,11.646193504333496,15.285684585571289,0.7422842532792318,229.81424970703125,11.661447525024414,15.159622192382812,0.7497681645285146
9,0.0005,230.75338619140626,11.562689781188965,15.1905517578125,0.7460231017673596,220.5015975463867,11.259326934814453,14.84929084777832,0.7604652729775939
10,0.0005,226.3083997607422,11.437394142150879,15.04353141784668,0.7517266974829125,220.3852774902344,11.233864784240723,14.845381736755371,0.7605331855906365
11,0.0005,222.2799670703125,11.320460319519043,14.909069061279297,0.7568589051512634,214.6734573730469,11.144332885742188,14.651739120483398,0.7669940531603199
12,0.0005,219.2896961352539,11.2269287109375,14.808420181274414,0.7606462861079324,211.0390217895508,11.041821479797363,14.527185440063477,0.7713224475622337
